FIAT ;Novo Uno ;1.4 -8V ;Sporting Dualogic ;MTA -5 ;0.031;117;7.7;8.3;11;12
FIAT ;Novo Uno ;1.0 -8V ;Way ;M -5 ;0.02;110;8;9.1;12;13
FIAT ;Palio ;1.0 -8V ;Fire Evo ;M -5 ;0.019;99;8.7;10.4;12;15
FIAT ;Palio ;1.0 -8V ;Fire Way ;M -5 ;0.019;103;8.3;9.8;12;14
FIAT ;Uno ;1.0 -8V ;Vivace ;M -5 ;0.019;102;8.2;10.4;12;15
FIAT ;Uno ;1.0 -8V ;Mille Fire Economy 4P;M -5 ;0.044;95;8.8;9.9;12.4;14.6
FIAT ;Idea ;1.4 -8V ;Attractive ;M -5 ;0.016;130;6.7;7.3;10;11
FIAT ;Idea ;1.6 -16V ;Essence Dualogic ;MTA -5 ;0.022;125;6.7;7.9;10;12
FIAT ;Idea ;1.6 -16V ;Essence ;M -5 ;0.019;128;6.8;8;10;12
FIAT ;Novo Palio ;1.4 -8V ;Attractive ;M -5 ;0.017;113;7.7;9;11;13
FIAT ;Novo Palio ;1.6 -16V ;Essence ;M -5 ;0.01;124;6.9;8.2;10;12
FIAT ;Novo Palio ;1.0 -8V ;Attractive ;M -5 ;0.008;118;7.2;8.7;10;13
FIAT ;Punto ;1.4 -8V ;Attractive ;M -5 ;0.022;120;7.3;8.6;10;12
FIAT ;Punto ;1.6 -16V ;Essence ;M -5 ;0.029;125;6.7;8.4;10;12
FIAT ;Punto ;1.6 -16V ;Essence Dualogic ;MTA -5 ;0.021;125;6.9;8;10;12
FIAT ;Punto ;1.8 -16V ;Sporting ;M -5 ;0.018;130;6.7;7.9;10;11
FIAT ;Punto ;1.8 -16V ;Blackmotion ;M -5 ;0.018;130;6.7;7.9;10;11
FIAT ;Punto ;1.4 -16V ;Tjet ;M -5 ;0.031;139;0 ;0 ;9;10
FIAT ;Siena ;1.0 -8V ;EL ;M -5 ;0.032;106;8.1;9.8;12;14
FIAT ;Siena ;1.4 -8V ;EL ;M -5 ;0.031;116;7.3;8.5;11;13
FIAT ;Bravo ;1.8 -16V ;Essence ;M -5 ;0.015;139;6.4;7.5;9;11
FIAT ;Bravo ;1.8 -16V ;Absolute ;M -5 ;0.015;139;6.4;7.5;9;11
FIAT ;Bravo ;1.8 -16V ;Sporting ;M -5 ;0.015;139;6.4;7.5;9;11
FIAT ;Bravo ;1.8 -16V ;Essence ;MTA -5 ;0.016;138;6.5;7.6;9;11
FIAT ;Bravo ;1.8 -16V ;Absolute ;MTA -5 ;0.016;138;6.5;7.6;9;11
FIAT ;Bravo ;1.8 -16V ;Sporting Dualogic;MTA -5 ;0.016;138;6.5;7.6;9;11
FIAT ;Bravo ;1.4 -16V ;Tjet Gasolina ;M -6 ;0.025;141;0 ;0 ;9;10
FIAT ;Grand Siena ;1.4 -8V ;Attractive ;M -5 ;0.017;111;7.7;9;11;13
FIAT ;Grand Siena ;1.6 -16V ;Essence Dualogic ;MTA -5 ;0.026;122;7;8.3;10;12
FIAT ;Grand Siena ;1.4 -8V ;Tetra Fuel ;M -5 ;0.035;126;6.8;8.1;10;12
FIAT ;Grand Siena ;1.6 -16V ;Essence ;M -5 ;0.019;121;6.9;8.3;10;13
FIAT ;Weekend ;1.4 -8V ;Attractive ;M -5 ;0.027;122;7.2;8;11;12
FIAT ;Linea ;1.8 -16V ;Essence ;M -5 ;0.021;126;6.7;8;10;12
FIAT ;Linea ;1.8 -16V ;Essence ;MTA -5 ;0.013;126;6.7;8.3;10;12
FIAT ;Linea ;1.8 -16V ;Absolute Dualogic ;MTA -5 ;0.013;126;6.7;8.3;10;12
FIAT ;Doblé ;1.8 -16V ;Adventure ;M -5 ;0.025;151;6.1;6.6;9;10
FIAT ;Idea ;1.8 -16V ;Adventure ;M -5 ;0.021;145;6.3;7;9;10
FIAT ;Idea ;1.8 -16V ;Adventure Dualogic ;MTA -5 ;0.019;147;6.3;6.9;9;10
FIAT ;Novo Uno ;1.4 -8V ;Way ;M -5 ;0.034;114;7.8;8.8;11;13
FIAT ;Novo Uno ;1.4 -8V ;Way Dualogic ;MTA -5 ;0.031;117;7.7;8.3;11;12
FIAT ;Weekend ;1.8 -16V ;Adventure ;M -5 ;0.017;136;6.6;7.2;10;10
FIAT ;Weekend ;1.8 -16V ;Adventure Dualogic ;MTA -5 ;0.016;137;6.5;7.2;10;10
FIAT ;Weekend ;1.6 -16V ;Trekking ;M -5 ;0.021;131;6.9;7.8;10;11
FIAT ;Doblé ;1.4 -8V ;Attractive ;M -5 ;0.031;145;6.4;6.4;9;9
FIAT ;Doblé ;1.8 -16V ;Essence ;M -5 ;0.02;145;6.2;6.7;9;10
FIAT ;Freemont ;2.4 -16V ;Emotion ;A -6 ;0.032;165;0 ;0 ;7;11
FIAT ;Freemont ;2.4 -16V ;Precision ;A -6 ;0.032;165;0 ;0 ;7;11
FIAT ;Doblé ;1.4 -8V ;Cargo ;M -5 ;0.033;134;6.8;7.1;10;10
FIAT ;Doblé ;1.8 -16V ;Cargo ;M -5 ;0.02;136;6.4;7.1;10;10
FIAT ;Fiorino ;1.4 -8V ;Furgéo ;M -5 ;0.03;119;7.5;8.3;11;12
FIAT ;Novo Uno ;1.4 -8V ;Furgéo ;M -5 ;0.034;114;7.8;8.8;11;13
FIAT ;Strada ;1.6 -16V ;Trekking CD ;M -5 ;0.029;126;7;7.7;10;11
FIAT ;Strada ;1.4 -8V ;Working CC ;M -5 ;0.037;127;7;7.6;10;11
FIAT ;Strada ;1.4 -8V ;CE ;M -5 ;0.037;127;7;7.6;10;11
FIAT ;Toro ;1.8 -16V ;Freedon ;A -6 ;0.029;149;5.8;7.4;8;11
FIAT ;Toro ;2.0 -16V ;Freedon 4X2 ;M -6 ;0.266;176;0 ;0 ;11;13
FIAT ;Toro ;2.0 -16V ;Volcano 4X4 ;A -9 ;0.23;204;0 ;0 ;9;11
FIAT ;Toro ;2.0 -16V ;Freedon 4X4 ;M -6 ;0.254;181;0 ;0 ;10;12
FORD ;KA (5 Portas) ;1.5 -16V ;SE ;M -5 ;0.018;108;7.9;9.5;12;14
FORD ;KA (5 Portas) ;1.5 -16V ;SEL ;M -5 ;0.018;108;7.9;9.5;12;14
FORD ;KA (5 Portas) ;1.0 -12V ;SE ;M -5 ;0.023;95;8.9;10.4;13;15
FORD ;KA (5 Portas) ;1.0 -12V ;SEL ;M -5 ;0.023;95;8.9;10.4;13;15
FORD ;New Fiesta Hatch ;1.5 -16V ;S ;M -5 ;0.02;114;7.6;9.4;11;13
FORD ;New Fiesta Hatch ;1.5 -16V ;SE ;M -5 ;0.02;114;7.6;9.4;11;13
FORD ;New Fiesta Hatch ;1.6 -16V ;SE ;DCT -6 ;0.031;109;7.7;10;11;14
FORD ;New Fiesta Hatch ;1.6 -16V ;Titanium ;DCT -6 ;0.031;109;7.7;10;11;14
FORD ;New Fiesta Hatch ;1.6 -16V ;SE ;M -5 ;0.022;105;8;9.9;12;14
FORD ;New Fiesta Hatch ;1.6 -16V ;Titanium ;M -5 ;0.022;105;8;9.9;12;14
FORD ;KA+ (4 Portas) ;1.5 -16V ;SE ;M -5 ;0.018;108;7.9;9.5;12;14
FORD ;KA+ (4 Portas) ;1.5 -16V ;SEL ;M -5 ;0.018;108;7.9;9.5;12;14
FORD ;KA+ (4 Portas) ;1.0 -12V ;SE ;M -5 ;0.023;95;8.9;10.4;13;15
FORD ;KA+ (4 Portas) ;1.0 -12V ;SEL ;M -5 ;0.023;95;8.9;10.4;13;15
FORD ;New Fiesta Sedan ;1.6 -16V ;SE ;DCT -6 ;0.025;113;7.5;9.5;11;14
FORD ;New Fiesta Sedan ;1.6 -16V ;Titanium ;DCT -6 ;0.025;113;7.5;9.5;11;14
FORD ;New Fiesta Sedan ;1.6 -16V ;SE ;M -5 ;0.014;106;7.6;9.7;12;14
FORD ;New Fiesta Sedan ;1.6 -16V ;Titanium ;M -5 ;0.014;106;7.6;9.7;12;14
